id;title;event_date;event_end;event_place;content;budget;club_id
1;Tuna integrated deposit;2022-01-16T08:45:32;2022-01-16T10:29:56;BEAC payment THX;../fake-data/blob/hipster.txt;Awesome Fresh USB;1
2;Mouse high-level architectures;2022-01-16T18:59:18;2022-01-16T09:51:35;mobile;../fake-data/blob/hipster.txt;copying;2
3;Personal Triple-buffered Car;2022-01-16T05:50:04;2022-01-16T12:39:38;Sports Bedfordshire hack;../fake-data/blob/hipster.txt;maximize Metal;3
4;quantify discrete Gorgeous;2022-01-15T20:06:48;2022-01-15T21:01:41;success withdrawal withdrawal;../fake-data/blob/hipster.txt;Garden;4
5;Rustic;2022-01-16T07:34:32;2022-01-16T05:25:25;Bedfordshire deposit;../fake-data/blob/hipster.txt;b;5
6;auxiliary a mint;2022-01-15T22:03:37;2022-01-16T09:58:52;Vatu;../fake-data/blob/hipster.txt;Cuban Fresh;6
7;Table Kids;2022-01-16T04:09:27;2022-01-15T23:53:13;function;../fake-data/blob/hipster.txt;Account Organic a;7
8;Steel;2022-01-16T07:33:55;2022-01-16T15:13:42;Music la;../fake-data/blob/hipster.txt;invoice benchmark;8
9;Shoes paradigms;2022-01-16T05:30:10;2022-01-16T15:34:43;maximized b c;../fake-data/blob/hipster.txt;panel Tools transmitting;9
10;e-enable;2022-01-15T21:36:22;2022-01-15T20:04:20;Plastic Koruna purple;../fake-data/blob/hipster.txt;up Sleek Electronics;10
