id;title;meeting_date;meeting_place;content;club_id
1;protocol Corse Account;2022-01-15T22:00:58;target;../fake-data/blob/hipster.txt;1
2;efficient;2022-01-16T15:47:08;Organic strategic Borders;../fake-data/blob/hipster.txt;2
3;CSS application;2022-01-16T11:37:34;Hat;../fake-data/blob/hipster.txt;3
4;b port;2022-01-16T14:14:13;integrated Triple-buffered hierarchy;../fake-data/blob/hipster.txt;4
5;Intuitive c;2022-01-16T15:21:07;Stagiaire blue Object-based;../fake-data/blob/hipster.txt;5
6;bandwidth generate Kip;2022-01-16T02:24:35;Saint-Christophe-et-Niévès Mouse Assistant;../fake-data/blob/hipster.txt;6
7;Home;2022-01-16T18:57:54;Plastic Buckinghamshire CSS;../fake-data/blob/hipster.txt;7
8;contextually-based Soft;2022-01-16T14:18:41;b hack e-services;../fake-data/blob/hipster.txt;8
9;quantifying Monsieur-le-Prince Steel;2022-01-16T05:58:34;client-driven;../fake-data/blob/hipster.txt;9
10;mindshare help-desk coherent;2022-01-16T17:16:26;Kwacha hacking;../fake-data/blob/hipster.txt;10
